member_id,week_start,steps,gym_visits,points_earned
M00049,2022-10-10,5511.0,4,134.0
M00978,2022-10-17,8708.0,4,142.0
M00577,2022-03-14,3119.0,0,1.0
M00701,2023-10-09,11327.0,2,9.0
M00521,2022-10-24,8034.0,3,138.0
M00394,2023-08-21,15358.0,2,52.0
M00880,2022-02-21,5765.0,1,55.0
M00395,2022-11-14,8397.0,2,39.0
M00096,2022-08-22,15830.0,1,75.0
M00085,2023-10-23,12071.0,0,91.0
M00036,2023-04-17,15617.0,1,113.0
M00952,2022-04-11,16709.0,4,81.0
M00416,2022-05-02,3029.0,1,130.0
M00595,2022-03-14,3504.0,4,21.0
M00968,2023-09-25,2864.0,4,15.0
M00675,2022-05-09,17038.0,2,123.0
M00726,2023-05-22,12410.0,3,68.0
M00900,2022-06-20,18873.0,2,127.0
M00221,2022-05-30,9127.0,2,85.0
M00830,2023-08-28,11733.0,4,16.0
M00319,2023-03-06,6882.0,3,74.0
M00479,2022-09-12,7935.0,4,43.0
M00392,2022-03-07,5288.0,3,40.0
M00119,2023-07-17,17030.0,1,103.0
M00588,2022-12-26,15754.0,4,2.0
M00069,2023-06-19,12116.0,2,90.0
M00445,2023-04-17,,4,108.0
M00094,2023-10-30,18034.0,0,12.0
M00319,2022-07-11,5836.0,0,145.0
M00317,2022-07-25,19410.0,0,39.0
M00867,2022-11-14,2627.0,2,96.0
M00293,2022-10-03,14283.0,2,119.0
M00766,2022-05-23,7286.0,0,137.0
M00516,2022-04-11,12457.0,2,43.0
M00056,2022-01-17,,2,92.0
M00555,2023-07-17,8425.0,2,135.0
M00277,2023-07-03,19358.0,0,141.0
M00570,2023-11-06,18055.0,1,28.0
M00762,2023-04-24,12376.0,1,134.0
M00144,2022-02-21,7452.0,3,29.0
M00309,2022-02-28,6714.0,4,46.0
M00018,2023-09-18,14887.0,1,119.0
M00825,2022-01-10,10188.0,3,143.0
M00351,2022-09-12,11340.0,1,73.0
M00166,2023-11-27,5578.0,0,28.0
M00891,2022-03-21,5119.0,3,120.0
M00544,2022-05-09,5261.0,0,14.0
M00112,2022-07-04,9790.0,0,50.0
M00225,2022-06-13,18383.0,3,55.0
M00787,2023-04-03,15808.0,3,
M00852,2022-04-18,12935.0,1,63.0
M00816,2022-01-10,15171.0,1,116.0
M00074,2022-05-23,11891.0,4,92.0
M00154,2022-03-07,19926.0,1,1.0
M00110,2023-02-06,15530.0,3,109.0
M00338,2022-04-25,9669.0,1,31.0
M00941,2023-06-12,10609.0,3,110.0
M00507,2022-02-14,7539.0,4,53.0
M00173,2023-05-22,12966.0,3,41.0
M00783,2022-11-14,3184.0,4,8.0
M00996,2022-12-12,7186.0,4,18.0
M00146,2022-03-07,2314.0,4,133.0
M00799,2022-04-18,9445.0,0,97.0
M00399,2022-01-03,16391.0,2,0.0
M00102,2022-02-28,12628.0,3,140.0
M00989,2022-03-28,18976.0,1,5.0
M00527,2023-02-27,9082.0,2,98.0
M00249,2022-11-28,2730.0,2,73.0
M00577,2022-04-18,14814.0,0,30.0
M00485,2023-11-13,5692.0,3,71.0
M00361,2022-10-10,6219.0,3,127.0
M00983,2022-07-25,5142.0,1,38.0
M00174,2023-06-19,11912.0,0,
M00843,2023-05-15,4959.0,2,124.0
M00358,2023-01-16,10519.0,3,30.0
M00912,2022-03-14,8710.0,0,12.0
M00439,2022-12-26,7083.0,4,70.0
M00030,2023-10-23,10646.0,3,50.0
M00477,2023-06-05,11347.0,2,64.0
M00553,2022-11-28,10293.0,4,44.0
M00067,2022-02-14,7993.0,4,112.0
M00488,2023-01-09,8714.0,4,52.0
M00785,2022-01-03,19192.0,2,25.0
M00538,2023-08-28,14225.0,0,109.0
M00118,2022-08-08,3241.0,3,143.0
M00841,2023-03-06,9086.0,0,11.0
M00721,2022-04-11,12607.0,2,15.0
M00357,2023-07-24,11953.0,1,90.0
M00248,2023-10-02,,3,51.0
M00960,2023-02-27,7142.0,3,82.0
M00095,2023-06-26,11280.0,1,75.0
M00314,2023-06-19,3733.0,4,
M00607,2023-01-23,10305.0,3,113.0
M00459,2022-08-22,4587.0,3,57.0
M00102,2022-05-16,11112.0,3,0.0
M00726,2022-06-13,16592.0,2,89.0
M00131,2022-07-11,18287.0,1,87.0
M00376,2022-03-14,19692.0,3,47.0
M00894,2023-10-02,11261.0,1,61.0
M00881,2023-08-21,6747.0,4,131.0
M00412,2022-07-25,6551.0,3,68.0
M00480,2022-09-19,8822.0,0,68.0
M00644,2023-07-17,6507.0,0,51.0
M00936,2023-08-21,19294.0,0,106.0
M00102,2022-01-03,3979.0,0,45.0
M00971,2023-08-07,18934.0,2,144.0
M00057,2023-04-24,5542.0,4,84.0
M00193,2022-08-15,16159.0,3,29.0
M00431,2023-03-27,16807.0,4,32.0
M00767,2022-10-31,12132.0,0,108.0
M00464,2023-03-20,5181.0,4,57.0
M00162,2022-02-28,8953.0,4,105.0
M00941,2022-08-08,16800.0,2,92.0
M00032,2023-01-09,3358.0,0,36.0
M00172,2022-06-27,4893.0,1,14.0
M00097,2023-03-06,19299.0,4,92.0
M00139,2022-10-17,16943.0,4,9.0
M00292,2022-11-28,5644.0,0,
M00141,2022-02-07,18010.0,2,121.0
M00313,2022-07-25,2543.0,3,136.0
M00980,2023-12-25,100000.0,0,19.0
