WEEK_START,AVGsteps,AVGgym_visit,AVGpoints
2022-01-03,14011,2,58
2022-01-10,11273,2,73
2022-01-17,12701,2,79
2022-01-24,13530,2,85
2022-01-31,12776,1,67
2022-02-07,12376,2,73
2022-02-14,10270,3,71
2022-02-21,10563,2,66
2022-02-28,10066,3,78
2022-03-07,11389,2,67
2022-03-14,9331,2,44
2022-03-21,7471,2,88
2022-03-28,11648,2,60
2022-04-04,8693,2,77
2022-04-11,12183,2,61
2022-04-18,12209,2,70
2022-04-25,9798,2,55
2022-05-02,7054,1,101
2022-05-09,9629,1,83
2022-05-16,12240,2,110
2022-05-23,10056,2,95
2022-05-30,12694,2,68
2022-06-06,11164,2,64
2022-06-13,12251,2,53
2022-06-20,10652,2,69
2022-06-27,8028,2,67
2022-07-04,10228,2,72
2022-07-11,12181,2,83
2022-07-18,8820,2,52
2022-07-25,9096,2,75
2022-08-01,13797,2,68
2022-08-08,7102,1,88
2022-08-15,10148,2,50
2022-08-22,11553,2,67
2022-08-29,9770,3,57
2022-09-05,11139,2,76
2022-09-12,9979,2,88
2022-09-19,13137,2,58
2022-09-26,13008,3,71
2022-10-03,9476,1,50
2022-10-10,8978,2,94
2022-10-17,10190,3,74
2022-10-24,9807,2,101
2022-10-31,11690,2,84
2022-11-07,14167,2,93
2022-11-14,10080,2,66
2022-11-21,9010,3,91
2022-11-28,8855,2,70
2022-12-05,14440,1,74
2022-12-12,13131,2,69
2022-12-19,9601,2,79
2022-12-26,12554,3,75
2023-01-02,11457,2,60
2023-01-09,9899,1,48
2023-01-16,13860,3,67
2023-01-23,10529,2,82
2023-01-30,10697,1,90
2023-02-06,11807,2,86
2023-02-13,13643,1,76
2023-02-20,18497,1,81
2023-02-27,10137,3,70
2023-03-06,11807,2,43
2023-03-13,10024,2,54
2023-03-20,9489,2,40
2023-03-27,13981,2,66
2023-04-03,11498,2,87
2023-04-10,16524,2,89
2023-04-17,10046,2,95
2023-04-24,10777,2,72
2023-05-01,15278,1,64
2023-05-08,13238,2,71
2023-05-15,10006,2,85
2023-05-22,11697,1,81
2023-05-29,8638,3,88
2023-06-05,7578,3,56
2023-06-12,13846,3,88
2023-06-19,10315,2,79
2023-06-26,9933,2,52
2023-07-03,12608,2,66
2023-07-10,10591,3,68
2023-07-17,9886,1,80
2023-07-24,11252,2,83
2023-07-31,12442,2,74
2023-08-07,13290,2,85
2023-08-14,10549,1,82
2023-08-21,11501,2,87
2023-08-28,11454,2,93
2023-09-04,8051,2,60
2023-09-11,12534,2,100
2023-09-18,12017,2,62
2023-09-25,9459,3,67
2023-10-02,11494,1,69
2023-10-09,8288,2,76
2023-10-16,10756,2,30
2023-10-23,10399,2,58
2023-10-30,10084,2,82
2023-11-06,15037,3,78
2023-11-13,9777,2,63
2023-11-20,14964,2,74
2023-11-27,9943,1,49
2023-12-04,9681,2,88
2023-12-11,10249,2,83
2023-12-18,12164,1,40
2023-12-25,19214,2,63
