MEMBER_ID,EngagementScore
M00001,40.7480
M00002,46.6110
M00003,18.4630
M00004,12.2150
M00005,32.0280
M00006,5.9810
M00007,9.7360
M00008,46.2640
M00009,31.1070
M00010,24.9070
M00011,14.2530
M00012,44.0800
M00013,22.2590
M00014,7.6880
M00015,2.2440
M00016,50.8900
M00017,31.1070
M00018,24.8870
M00019,48.8180
M00020,33.6770
M00021,21.1740
M00022,58.2560
M00023,18.8790
M00024,19.1220
M00025,18.6840
M00026,37.2170
M00027,6.0260
M00028,55.8340
M00029,32.5700
M00030,40.6460
M00031,28.4840
M00032,3.3580
M00033,24.9110
M00034,53.8020
M00035,16.6880
M00036,25.6170
M00037,27.7450
M00038,26.9500
M00039,59.2440
M00040,56.8470
M00041,54.9540
M00042,29.7360
M00043,43.6340
M00044,25.1810
M00045,15.9270
M00046,24.7620
M00047,11.6770
M00048,27.9820
M00049,45.5110
M00050,46.6980
M00051,33.4360
M00052,33.3010
M00053,31.5750
M00054,48.7200
M00055,37.9490
M00056,31.1740
M00057,45.5420
M00058,16.4840
M00059,17.3270
M00060,42.5950
M00061,16.4500
M00062,47.6400
M00063,35.9060
M00064,46.3590
M00065,9.6010
M00066,57.4870
M00067,47.9930
M00068,31.1070
M00069,32.1160
M00070,31.1070
M00071,39.0400
M00072,23.0710
M00073,20.8460
M00074,51.8910
M00075,19.0410
M00076,31.8550
M00077,23.9400
M00078,28.9800
M00079,22.3440
M00080,31.1070
M00081,37.5780
M00082,8.3090
M00083,33.2350
M00084,58.0970
M00085,12.0710
M00086,18.9160
M00087,40.9230
M00088,57.0330
M00089,27.8670
M00090,7.8230
M00091,39.9590
M00092,45.2760
M00093,3.0040
M00094,18.0340
M00095,21.2800
M00096,25.8300
M00097,59.2990
M00098,7.5110
M00099,7.8680
M00100,20.5640
M00101,28.5830
M00102,42.6280
M00103,29.2820
M00104,19.7610
M00105,15.4250
M00106,55.4100
M00107,7.6080
M00108,23.1150
M00109,19.6380
M00110,45.5300
M00111,35.4860
M00112,9.7900
M00113,28.5820
M00114,15.8820
M00115,38.6000
M00116,34.2640
M00117,11.6740
M00118,33.2410
M00119,27.0300
M00120,46.0760
M00121,20.3000
M00122,28.0170
M00123,33.3920
M00124,2.2320
M00125,46.8320
M00126,43.2010
M00127,21.6970
M00128,29.5580
M00129,31.1070
M00130,36.2970
M00131,28.2870
M00132,34.0700
M00133,26.2740
M00134,26.3170
M00135,54.2480
M00136,31.1070
M00137,47.3980
M00138,52.5370
M00139,56.9430
M00140,25.5880
M00141,38.0100
M00142,24.7430
M00143,10.8740
M00144,37.4520
M00145,46.9740
M00146,42.3140
M00147,33.0180
M00148,34.4060
M00149,15.2210
M00150,46.3760
M00151,22.3070
M00152,19.9670
M00153,54.2350
M00154,29.9260
M00155,17.2350
M00156,45.4480
M00157,22.5810
M00158,33.6260
M00159,43.8200
M00160,18.5680
M00161,54.3190
M00162,48.9530
M00163,46.7220
M00164,45.6580
M00165,38.9630
M00166,5.5780
M00167,14.5660
M00168,16.8730
M00169,26.2190
M00170,43.5530
M00171,26.2420
M00172,14.8930
M00173,42.9660
M00174,11.9120
M00175,20.7370
M00176,15.1260
M00177,32.2940
M00178,46.6490
M00179,34.3200
M00180,20.6980
M00181,40.9600
M00182,50.0060
M00183,34.8500
M00184,3.5890
M00185,40.8640
M00186,22.6870
M00187,13.9560
M00188,22.5840
M00189,4.7900
M00190,34.3350
M00191,12.6380
M00192,33.2860
M00193,46.1590
M00194,17.5690
M00195,38.5860
M00196,22.5100
M00197,13.8930
M00198,29.0280
M00199,39.4690
M00200,29.2090
M00201,14.2970
M00202,19.2200
M00203,28.2360
M00204,27.4790
M00205,36.9230
M00206,48.7400
M00207,53.4440
M00208,46.3360
M00209,56.1020
M00210,38.0630
M00211,55.1170
M00212,34.3520
M00213,35.9210
M00214,46.6050
M00215,3.0280
M00216,46.1870
M00217,44.0770
M00218,13.9800
M00219,2.3640
M00220,13.2610
M00221,29.1270
M00222,28.0240
M00223,16.6140
M00224,59.4570
M00225,48.3830
M00226,28.7120
M00227,24.3730
M00228,18.3870
M00229,43.6400
M00230,21.3950
M00231,44.7900
M00232,17.7780
M00233,23.5640
M00234,12.3270
M00235,18.9300
M00236,33.7570
M00237,27.6450
M00238,45.5870
M00239,31.1070
M00240,27.8410
M00241,28.7200
M00242,32.0520
M00243,26.6950
M00244,23.9950
M00245,23.2720
M00246,19.5430
M00247,38.2290
M00248,41.1740
M00249,22.7300
M00250,20.4140
M00251,50.7650
M00252,19.9880
M00253,42.1480
M00254,11.6260
M00255,5.5530
M00256,18.0650
M00257,49.0990
M00258,45.7270
M00259,19.0290
M00260,27.0180
M00261,38.0720
M00262,35.8950
M00263,22.8160
M00264,30.1650
M00265,47.8930
M00266,10.7080
M00267,36.6790
M00268,19.5820
M00269,35.2960
M00270,5.5750
M00271,31.1070
M00272,2.6060
M00273,12.1930
M00274,31.1070
M00275,52.8540
M00276,38.3410
M00277,19.3580
M00278,11.1740
M00279,46.2580
M00280,7.7650
M00281,24.8100
M00282,41.0950
M00283,2.1100
M00284,27.5670
M00285,40.0990
M00286,33.9440
M00287,8.2100
M00288,18.7640
M00289,59.7870
M00290,20.7130
M00291,13.5220
M00292,5.6440
M00293,34.2830
M00294,46.3800
M00295,49.7140
M00296,33.3400
M00297,13.4740
M00298,17.8920
M00299,51.7130
M00300,18.9880
M00301,22.4930
M00302,49.6250
M00303,28.5480
M00304,18.7110
M00305,38.7510
M00306,9.6820
M00307,34.0400
M00308,25.1510
M00309,46.7140
M00310,51.1740
M00311,22.6880
M00312,27.8780
M00313,32.5430
M00314,43.7330
M00315,23.9940
M00316,31.1070
M00317,19.4100
M00318,35.2670
M00319,36.8820
M00320,15.9820
M00321,26.9070
M00322,48.0210
M00323,11.1740
M00324,21.1740
M00325,47.3740
M00326,37.8810
M00327,12.1280
M00328,47.6540
M00329,34.4560
M00330,4.3810
M00331,37.3610
M00332,12.6880
M00333,20.9200
M00334,13.2440
M00335,29.5850
M00336,4.3680
M00337,4.6240
M00338,19.6690
M00339,45.8340
M00340,2.0840
M00341,21.0200
M00342,3.8280
M00343,6.9950
M00344,23.9970
M00345,34.4750
M00346,32.2270
M00347,29.9090
M00348,6.4310
M00349,44.1710
M00350,19.2160
M00351,21.3400
M00352,4.8520
M00353,9.5390
M00354,50.1860
M00355,24.9050
M00356,2.2050
M00357,21.9530
M00358,40.5190
M00359,45.2500
M00360,19.9830
M00361,36.2190
M00362,38.4450
M00363,45.5100
M00364,5.1630
M00365,15.8320
M00366,22.8210
M00367,24.2530
M00368,39.7290
M00369,41.1740
M00370,29.9810
M00371,27.6590
M00372,17.1130
M00373,41.6820
M00374,14.3920
M00375,16.3960
M00376,49.6920
M00377,16.8570
M00378,46.1120
M00379,26.0710
M00380,31.1070
M00381,25.8860
M00382,58.5960
M00383,13.2090
M00384,29.1450
M00385,3.5290
M00386,45.2930
M00387,39.8310
M00388,37.8710
M00389,31.1070
M00390,54.5950
M00391,35.0960
M00392,35.2880
M00393,57.5580
M00394,35.3580
M00395,28.3970
M00396,9.3050
M00397,39.2600
M00398,46.8830
M00399,36.3910
M00400,12.4070
M00401,31.1070
M00402,49.8660
M00403,22.6060
M00404,24.9450
M00405,32.5860
M00406,18.0520
M00407,57.6310
M00408,44.5230
M00409,45.5870
M00410,47.6450
M00411,53.0900
M00412,36.5510
M00413,42.7380
M00414,13.1910
M00415,31.1070
M00416,13.0290
M00417,43.5520
M00418,57.9080
M00419,25.8680
M00420,19.9510
M00421,45.5460
M00422,46.4170
M00423,16.6240
M00424,3.9090
M00425,19.4750
M00426,31.1070
M00427,39.4350
M00428,14.8360
M00429,48.5100
M00430,19.5510
M00431,56.8070
M00432,16.2460
M00433,35.6620
M00434,32.0780
M00435,33.1380
M00436,22.8860
M00437,31.1070
M00438,53.6770
M00439,47.0830
M00440,44.8920
M00441,31.1070
M00442,12.1500
M00443,43.5530
M00444,19.4980
M00445,51.1740
M00446,31.1070
M00447,39.9430
M00448,30.1400
M00449,59.6110
M00450,21.9610
M00451,31.2570
M00452,18.6990
M00453,23.2360
M00454,44.2920
M00455,26.7910
M00456,55.6850
M00457,31.1070
M00458,27.4200
M00459,34.5870
M00460,30.4660
M00461,31.1070
M00462,15.9450
M00463,28.4670
M00464,45.1810
M00465,13.3350
M00466,32.7310
M00467,34.1870
M00468,4.1860
M00469,30.4760
M00470,19.1780
M00471,26.2420
M00472,32.4710
M00473,46.7550
M00474,17.2470
M00475,25.8110
M00476,12.9270
M00477,31.3470
M00478,46.5690
M00479,47.9350
M00480,8.8220
M00481,25.9380
M00482,20.6540
M00483,24.9840
M00484,46.5950
M00485,35.6920
M00486,49.7470
M00487,33.7990
M00488,48.7140
M00489,22.3930
M00490,55.7550
M00491,18.8570
M00492,23.2000
M00493,52.5800
M00494,49.9130
M00495,31.1070
M00496,32.4830
M00497,22.6360
M00498,45.5940
M00499,42.3530
M00500,16.6090
M00501,11.8370
M00502,45.8790
M00503,25.9980
M00504,10.8790
M00505,4.8670
M00506,44.6950
M00507,47.5390
M00508,13.2440
M00509,59.9660
M00510,25.6830
M00511,25.2910
M00512,33.1950
M00513,45.0490
M00514,3.8960
M00515,14.4660
M00516,32.4570
M00517,18.5090
M00518,31.1070
M00519,17.6220
M00520,38.4180
M00521,38.0340
M00522,47.8500
M00523,48.8890
M00524,38.4700
M00525,42.8650
M00526,16.5380
M00527,29.0820
M00528,37.8230
M00529,30.8170
M00530,36.1470
M00531,14.4530
M00532,46.5350
M00533,42.0000
M00534,41.1740
M00535,12.7610
M00536,28.1160
M00537,48.9070
M00538,14.2250
M00539,6.4170
M00540,31.1740
M00541,33.2040
M00542,32.2490
M00543,31.1070
M00544,5.2610
M00545,47.6200
M00546,48.4420
M00547,18.2470
M00548,38.5190
M00549,6.1640
M00550,8.8870
M00551,14.3430
M00552,19.7230
M00553,50.2930
M00554,51.1410
M00555,28.4250
M00556,50.7410
M00557,12.3730
M00558,31.1070
M00559,8.4330
M00560,44.9150
M00561,55.3740
M00562,32.6130
M00563,36.0540
M00564,49.0830
M00565,21.4840
M00566,34.1510
M00567,52.4780
M00568,36.7850
M00569,34.3260
M00570,28.0550
M00571,36.1650
M00572,13.3090
M00573,38.0050
M00574,57.6940
M00575,13.7390
M00576,22.2760
